list all the flights that arrive at general mitchell international from various cities	( _lambda $0 e ( _and ( _flight $0 ) ( _to $0 mke:_ap ) ( _exists $1 ( _and ( _city $1 ) ( _from $0 $1 ) ) ) ) )
give me the flights leaving denver august ninth coming back to boston	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 boston:_ci ) ( _day_number $0 9:_dn ) ( _month $0 august:_mn ) ) )
what flights from tacoma to orlando on saturday	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 tacoma:_ci ) ( _to $0 orlando:_ci ) ( _day $0 saturday:_da ) ) )
what is the most expensive one way fare from boston to atlanta on american airlines	( _max $0 ( _exists $1 ( _and ( _oneway $1 ) ( _airline $1 aa:_al ) ( _from $1 boston:_ci ) ( _to $1 atlanta:_ci ) ( _= ( _fare $1 ) $0 ) ) ) )
what flights return from denver to philadelphia on a saturday	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 philadelphia:_ci ) ( _day $0 saturday:_da ) ) )
can you list all flights from chicago to milwaukee	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 chicago:_ci ) ( _to $0 milwaukee:_ci ) ) )
show me the flights from denver that go to pittsburgh and then atlanta	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 atlanta:_ci ) ( _stop $0 pittsburgh:_ci ) ) )
i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon	( _lambda $0 e ( _or ( _and ( _flight $0 ) ( _< ( _arrival_time $0 ) 1200:_ti ) ( _from $0 baltimore:_ci ) ( _to $0 atlanta:_ci ) ) ( _and ( _flight $0 ) ( _< ( _arrival_time $0 ) 1200:_ti ) ( _from $0 denver:_ci ) ( _to $0 atlanta:_ci ) ) ) )
do you have an 819 flight from denver to san francisco	( _lambda $0 e ( _and ( _flight $0 ) ( _departure_time $0 819:_ti ) ( _from $0 denver:_ci ) ( _to $0 san_francisco:_ci ) ) )
can you list all round trip flights from orlando to kansas city and then to minneapolis	( _lambda $0 e ( _and ( _flight $0 ) ( _round_trip $0 ) ( _from $0 orlando:_ci ) ( _to $0 minneapolis:_ci ) ( _stop $0 kansas_city:_ci ) ) )
show me the united flights from denver to baltimore	( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 ua:_al ) ( _from $0 denver:_ci ) ( _to $0 baltimore:_ci ) ) )
i would like a us air flight from toronto to san diego with a stopover in denver please	( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 us:_al ) ( _from $0 toronto:_ci ) ( _to $0 san_diego:_ci ) ( _stop $0 denver:_ci ) ) )
are there any nonstop flights leaving from denver arriving in baltimore on july seventh	( _lambda $0 e ( _and ( _month_arrival $0 july:_mn ) ( _to $0 baltimore:_ci ) ( _from $0 denver:_ci ) ( _flight $0 ) ( _day_number_arrival $0 7:_dn ) ( _nonstop $0 ) ) )
how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta	( _lambda $0 e ( _lambda $1 e ( _and ( _equals $0 ( _argmin $2 ( _and ( _flight $2 ) ( _from $2 boston:_ci ) ( _to $2 atlanta:_ci ) ) ( _arrival_time $2 ) ) ) ( _equals $1 ( _argmax $3 ( _and ( _flight $3 ) ( _to $3 boston:_ci ) ( _from $3 atlanta:_ci ) ) ( _departure_time $3 ) ) ) ) ) )
are there any flights between pittsburgh and baltimore using a j31 aircraft	( _lambda $0 e ( _and ( _flight $0 ) ( _aircraft_code $0 j31:_ac ) ( _from $0 pittsburgh:_ci ) ( _to $0 baltimore:_ci ) ) )
what does d/s stand for for meals	d_s:_rc
pittsburgh to boston saturday	( _lambda $0 e ( _and ( _from $0 pittsburgh:_ci ) ( _to $0 boston:_ci ) ( _day $0 saturday:_da ) ) )
what are the flights from charlotte to atlanta returning on tuesday july thirteenth	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 charlotte:_ci ) ( _to $0 atlanta:_ci ) ( _day_return $0 tuesday:_da ) ( _day_number_return $0 13:_dn ) ( _month_return $0 july:_mn ) ) )
i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines	( _lambda $0 e ( _exists $1 ( _and ( _airline $1 ua:_al ) ( _class_type $1 first:_cl ) ( _from $1 denver:_ci ) ( _to $1 baltimore:_ci ) ( _= ( _fare $1 ) $0 ) ) ) )
is there a flight between san francisco and boston with a stopover at dallas fort worth	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 san_francisco:_ci ) ( _to $0 boston:_ci ) ( _stop $0 dallas:_ci ) ) )
list the takeoffs and landings at general mitchell international	( _lambda $0 e ( _and ( _flight $0 ) ( _or ( _from $0 mke:_ap ) ( _to $0 mke:_ap ) ) ) )
what flights are there from minneapolis to newark on continental	( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 co:_al ) ( _from $0 minneapolis:_ci ) ( _to $0 newark:_ci ) ) )
is there limo service at pittsburgh airport	( _lambda $0 e ( _and ( _limousine $0 ) ( _from_airport $0 pit:_ap ) ) )
i need a flight from pittsburgh to los angeles thursday evening	( _lambda $0 e ( _and ( _flight $0 ) ( _during_day $0 evening:_pd ) ( _from $0 pittsburgh:_ci ) ( _to $0 los_angeles:_ci ) ( _day $0 thursday:_da ) ) )
how much is a first class ticket from boston to san francisco	( _lambda $0 e ( _exists $1 ( _and ( _class_type $1 first:_cl ) ( _from $1 boston:_ci ) ( _to $1 san_francisco:_ci ) ( _= ( _fare $1 ) $0 ) ) ) )
in dallas fort worth i would like information on ground transportation	( _lambda $0 e ( _and ( _ground_transport $0 ) ( _to_city $0 dallas:_ci ) ) )
what flights go from philadelphia to san francisco via dallas	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 philadelphia:_ci ) ( _to $0 san_francisco:_ci ) ( _stop $0 dallas:_ci ) ) )
i'd like flights on american airlines from philadelphia philadelphia to dallas arriving before 1145am	( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 aa:_al ) ( _< ( _arrival_time $0 ) 1145:_ti ) ( _from $0 philadelphia:_ci ) ( _to $0 dallas:_ci ) ) )
what airlines from washington dc to columbus	( _lambda $0 e ( _exists $1 ( _and ( _from $1 washington:_ci ) ( _to $1 columbus:_ci ) ( _= ( _airline:_e $1 ) $0 ) ) ) )
what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver	( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 ua:_al ) ( _during_day $0 morning:_pd ) ( _from $0 pittsburgh:_ci ) ( _to $0 san_francisco:_ci ) ( _stop $0 denver:_ci ) ( _day_number $0 20:_dn ) ( _month $0 september:_mn ) ) )
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth	( _lambda $0 e ( _exists $1 ( _and ( _flight $1 ) ( _round_trip $1 ) ( _from $1 pittsburgh:_ci ) ( _to $1 atlanta:_ci ) ( _day_number $1 25:_dn ) ( _month $1 april:_mn ) ( _= ( _fare $1 ) $0 ) ) ) )
i would like a flight from washington to boston leaving at 230 on august twentieth	( _lambda $0 e ( _and ( _month $0 august:_mn ) ( _departure_time $0 1430:_ti ) ( _to $0 boston:_ci ) ( _from $0 washington:_ci ) ( _flight $0 ) ( _day_number $0 20:_dn ) ) )
are there any nonstop flights from philadelphia to denver that arrive before 5pm	( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _< ( _arrival_time $0 ) 1700:_ti ) ( _from $0 philadelphia:_ci ) ( _to $0 denver:_ci ) ) )
i need a flight from baltimore to seattle	( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 baltimore:_ci ) ( _to $0 seattle:_ci ) ) )
i'd like to fly nonstop from atlanta to baltimore and get there at 7pm	( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _arrival_time $0 1900:_ti ) ( _from $0 atlanta:_ci ) ( _to $0 baltimore:_ci ) ) )
give me sunday nonstop flights from memphis to las vegas	( _lambda $0 e ( _and ( _flight $0 ) ( _nonstop $0 ) ( _from $0 memphis:_ci ) ( _to $0 las_vegas:_ci ) ( _day $0 sunday:_da ) ) )
what is the type of aircraft for united flight 21	( _lambda $0 e ( _exists $1 ( _and ( _flight $1 ) ( _airline $1 ua:_al ) ( _flight_number $1 21:_fn ) ( _= ( _aircraft_code $1 ) $0 ) ) ) )
can you give me information on transportation from the airport in philadelphia to downtown philadelphia	( _lambda $0 e ( _and ( _ground_transport $0 ) ( _from_airport $0 philadelphia:_ci ) ( _to_city $0 philadelphia:_ci ) ) )
